ORDER_ID,COURIER,WAREHOUSE,HANDOFFS,PRIOR_DELAYS,DELIVERY_DELAY_MINUTES
ORD000001,NovaShip,WH-A1,4,6,91.8
ORD000002,NovaShip,WH-D4,1,7,68.6
ORD000003,CityHop,WH-B2,1,5,57.7
ORD000004,SwiftRun,WH-D4,0,8,60.8
ORD000005,SwiftRun,WH-A1,5,3,72.2
ORD000006,CityHop,WH-C3,1,4,59.3
ORD000007,CityHop,WH-B2,5,5,96.9
ORD000008,NovaShip,WH-C3,1,7,71.7
ORD000009,NovaShip,WH-C3,5,6,93.9
ORD000010,MetroDash,WH-B2,5,6,102.5
ORD000011,NovaShip,WH-A1,5,1,80.2
ORD000012,CityHop,WH-B2,4,1,75.7
ORD000013,NovaShip,WH-A1,4,5,67.5
ORD000014,SwiftRun,WH-A1,5,7,79.8
ORD000015,NovaShip,WH-B2,2,8,78.6
ORD000016,CityHop,WH-D4,4,7,81.3
ORD000017,NovaShip,WH-B2,0,1,51.6
ORD000018,MetroDash,WH-B2,5,7,87.6
ORD000019,RapidoLog,WH-C3,3,6,52.2
ORD000020,MetroDash,WH-B2,4,7,86.7
ORD000021,RapidoLog,WH-A1,0,8,68.0
ORD000022,SwiftRun,WH-B2,3,0,46.0
ORD000023,NovaShip,WH-D4,1,3,71.7
ORD000024,RapidoLog,WH-B2,0,8,67.7
ORD000025,SwiftRun,WH-B2,4,0,64.1
ORD000026,CityHop,WH-B2,2,6,73.9
ORD000027,SwiftRun,WH-D4,4,1,100.3
ORD000028,MetroDash,WH-D4,4,4,95.3
ORD000029,MetroDash,WH-C3,0,1,62.8
ORD000030,CityHop,WH-D4,2,0,48.2
ORD000031,MetroDash,WH-C3,1,7,61.7
ORD000032,SwiftRun,WH-C3,4,8,65.8
ORD000033,SwiftRun,WH-C3,1,3,51.9
ORD000034,MetroDash,WH-B2,3,0,63.9
ORD000035,MetroDash,WH-C3,1,1,45.7
ORD000036,MetroDash,WH-B2,0,3,57.2
ORD000037,NovaShip,WH-D4,5,8,103.4
ORD000038,RapidoLog,WH-C3,5,5,71.3
ORD000039,SwiftRun,WH-D4,0,8,75.6
ORD000040,CityHop,WH-A1,5,4,107.7
ORD000041,MetroDash,WH-D4,5,6,95.3
