ORDER_ID,CUSTOMER_ID,ORDER_TS,REGION,PRIORITY,PACKAGE_WEIGHT_KG,DISTANCE_KM
ORD000001,CUST00229,2026-01-05 19:16:00,EAST,STANDARD,3.66,13.2
ORD000002,CUST00477,2026-04-03 05:55:00,CENTRAL,STANDARD,5.13,78.3
ORD000003,CUST00570,2026-05-28 14:27:00,NORTH,EXPRESS,4.16,51.3
ORD000004,CUST00736,2026-03-04 20:45:00,CENTRAL,STANDARD,1.28,55.7
ORD000005,CUST00601,2026-04-25 16:34:00,CENTRAL,EXPRESS,9.17,23.9
ORD000006,CUST00477,2026-01-19 15:16:00,WEST,STANDARD,15.96,44.4
ORD000007,CUST00147,2026-04-22 03:20:00,SOUTH,STANDARD,6.27,56.0
ORD000008,CUST00470,2026-05-30 20:30:00,NORTH,EXPRESS,10.15,8.9
ORD000009,CUST00811,2026-04-28 06:39:00,WEST,STANDARD,3.66,89.7
ORD000010,CUST00450,2026-01-26 10:22:00,CENTRAL,STANDARD,18.94,103.5
ORD000011,CUST00131,2026-03-12 07:04:00,WEST,STANDARD,11.81,30.9
ORD000012,CUST00547,2026-05-21 04:03:00,EAST,STANDARD,10.98,55.0
ORD000013,CUST00612,2026-04-27 13:36:00,CENTRAL,EXPRESS,3.99,91.7
ORD000014,CUST00744,2026-05-28 02:51:00,EAST,STANDARD,6.17,68.5
ORD000015,CUST00142,2026-05-19 17:07:00,CENTRAL,EXPRESS,3.38,57.6
ORD000016,CUST00434,2026-04-09 10:13:00,SOUTH,EXPRESS,10.1,80.9
ORD000017,CUST00248,2026-02-15 09:06:00,SOUTH,STANDARD,0.72,66.9
ORD000018,CUST00139,2026-01-06 23:14:00,EAST,STANDARD,6.1,80.6
ORD000019,CUST00498,2026-05-24 02:03:00,WEST,EXPRESS,4.92,12.5
ORD000020,CUST00202,2026-01-12 06:49:00,WEST,EXPRESS,20.05,14.0
ORD000021,CUST00288,2026-03-19 01:13:00,SOUTH,STANDARD,6.4,110.9
ORD000022,CUST00485,2026-01-31 12:37:00,WEST,STANDARD,5.5,48.7
ORD000023,CUST00800,2026-02-18 12:41:00,WEST,STANDARD,17.48,87.9
ORD000024,CUST01187,2026-05-15 04:29:00,CENTRAL,STANDARD,7.98,7.0
ORD000025,CUST00165,2026-02-04 01:52:00,NORTH,STANDARD,16.95,29.0
ORD000026,CUST01196,2026-04-14 03:30:00,CENTRAL,STANDARD,6.67,80.7
ORD000027,CUST00269,2026-05-03 12:39:00,EAST,STANDARD,23.24,112.4
ORD000028,CUST00544,2026-01-25 08:42:00,EAST,EXPRESS,22.01,45.0
ORD000029,CUST01084,2026-01-02 16:10:00,CENTRAL,STANDARD,16.65,112.7
ORD000030,CUST00578,2026-04-21 08:32:00,SOUTH,EXPRESS,5.25,76.5
ORD000031,CUST00190,2026-04-26 17:13:00,WEST,EXPRESS,1.29,40.7
ORD000032,CUST00020,2026-01-21 14:47:00,NORTH,PRIORITY,17.34,18.7
ORD000033,CUST00304,2026-03-20 11:46:00,SOUTH,STANDARD,9.24,112.0
ORD000034,CUST01147,2026-03-16 05:29:00,CENTRAL,EXPRESS,23.16,29.2
ORD000035,CUST00368,2026-05-15 08:05:00,EAST,EXPRESS,10.41,80.7
ORD000036,CUST00964,2026-02-10 17:49:00,SOUTH,EXPRESS,11.62,37.3
ORD000037,CUST00817,2026-03-02 00:11:00,EAST,EXPRESS,24.18,34.2
ORD000038,CUST00535,2026-02-02 18:10:00,CENTRAL,PRIORITY,6.78,13.9
ORD000039,CUST00894,2026-04-21 14:34:00,CENTRAL,STANDARD,22.51,23.6
ORD000040,CUST00404,2026-03-08 13:18:00,WEST,STANDARD,16.67,40.3
ORD000041,CUST01039,2026-02-26 13:17:00,WEST,STANDARD,17.49,67.0
ORD000042,CUST01166,2026-02-25 00:52:00,WEST,STANDARD,0.21,35.1
ORD000043,CUST00906,2026-05-04 05:51:00,SOUTH,STANDARD,19.88,115.2
ORD000044,CUST00192,2026-05-30 05:44:00,SOUTH,EXPRESS,5.77,24.7
ORD000045,CUST00150,2026-03-25 03:44:00,WEST,EXPRESS,14.48,86.5
ORD000046,CUST00219,2026-05-22 22:58:00,WEST,STANDARD,20.14,83.8
ORD000047,CUST00249,2026-03-25 08:18:00,SOUTH,EXPRESS,16.76,118.6
ORD000048,CUST00914,2026-01-30 05:22:00,WEST,STANDARD,18.84,100.9
ORD000049,CUST00563,2026-03-22 07:49:00,NORTH,EXPRESS,6.02,41.0
ORD000050,CUST00439,2026-01-12 22:37:00,WEST,STANDARD,13.66,50.5
ORD000051,CUST01180,2026-03-11 11:54:00,WEST,STANDARD,8.92,90.7
ORD000052,CUST00797,2026-03-03 10:34:00,WEST,EXPRESS,21.04,110.4
ORD000053,CUST00172,2026-04-28 06:12:00,WEST,STANDARD,11.65,7.0
ORD000054,CUST00777,2026-02-20 21:43:00,WEST,STANDARD,2.23,3.3
ORD000055,CUST00141,2026-05-23 11:15:00,NORTH,EXPRESS,23.75,24.7
ORD000056,CUST00447,2026-03-26 21:45:00,EAST,EXPRESS,4.36,73.3
ORD000057,CUST01186,2026-01-05 22:11:00,EAST,STANDARD,22.72,45.7
ORD000058,CUST00248,2026-05-26 04:46:00,CENTRAL,EXPRESS,8.81,52.0
ORD000059,CUST00026,2026-03-18 17:15:00,WEST,STANDARD,24.03,76.6
ORD000060,CUST00554,2026-04-23 08:57:00,CENTRAL,EXPRESS,11.73,99.3
ORD000061,CUST00178,2026-02-21 00:39:00,WEST,STANDARD,11.72,73.6
ORD000062,CUST00435,2026-03-06 20:15:00,EAST,STANDARD,22.03,84.4
ORD000063,CUST00176,2026-02-14 04:30:00,WEST,STANDARD,19.0,83.2
ORD000064,CUST00499,2026-02-25 23:50:00,CENTRAL,STANDARD,13.93,41.9
ORD000065,CUST00555,2026-02-26 01:39:00,EAST,STANDARD,18.09,38.6
ORD000066,CUST01075,2026-04-19 21:25:00,EAST,PRIORITY,20.85,36.3
ORD000067,CUST01094,2026-01-24 07:02:00,EAST,STANDARD,1.55,35.8
